指标,角色,问题,问题的不同的问法,问题类型,主题,指标名称,开始时间/基准时间,结束时间/对比时间,统计时效,维度(分组),限定条件,排序字段,排序方向,TopN,指标单位,精度,表,字段,答案-SQL部分,推荐的关联问题,结果+分析解读部分,
销售额,"老板【总部】,采购【总部】,营销【总部】",3月每个区域的销售额分别是多少？,"2024年3月，各区卖了多少？
三月，各区营业收入？
三月各区域业绩？
3月各区域营收如何？
202403，各区业绩？
2024年3月，各区销售？
202403，各区销售总额？
3月，各区销售情况？
3月，各区销售收入？
2024年3月，各区营业收入？
三月，各区收入情况？
202403，各区卖了多少？
3月，各区销售总额？
2024年3月，各区销售情况？
三月，各区收入？
202403，各区销售收入？
3月，各区营业收入？
2024年3月，各区业绩？
三月，各区销售？
202403，各区收入情况？
3月，各区销售金额？
2024年3月，各区卖了多少？
202403，各区销售情况？
三月，各区营业收入？
3月，各区营业额？
2024年3月，各区销售？
三月，各区销售总额？
202403，各区收入？
3月，各区销售收入？",分布类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",3月份每天的销售额如何？,"3月日销售情况？
3月日收入怎样？
2024年3月的日销售？
三月日销售额？
202403日销售如何？
3月日销售总额？
3月日销售收入？
2024年3月日销额？
三月日营收情况？
3月日销售？
202403日收入？
3月日营业收入？
2024年3月日销售情况？
三月日销售金额？
3月日销售业绩？
202403日销售总额？
3月日卖了多少？
2024年3月日营业收入？
三月日销售收入？
3月日销售情况咋样？
202403日销售情况？
3月日销售收入如何？
2024年3月日销售？
三月日销额？
3月日营业收入？
202403日销售收入情况？
3月日销售情况？
2024年3月日销售收入？
三月日销售总额？
3月日销售情况？
202403日销售？
3月日销售？
2024年3月日销额？
三月日营收？
3月日销售金额？
202403日销售情况？",趋势类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",上个月每天的销售额如何？,"上月日营收？
上月每日卖了多少？
上月每日业绩？
上月日销售总额？
上月日销售情况？
上月日销售收入情况？
上月的日销售？
上月日销售业绩如何？
上月日销售总额多少？
上月日销售？
上月日销售金额？
上月日营业收入？
上月日销售业绩？
上月日销售收入？",趋势类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区3月份每天的销售额如何？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店3月份每天的销售额如何？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类3月份每天的销售额如何？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",本季度到目前为止，西湖店和科技园店各自的销售额是多少？,"东湖和科技园店，本季销售多少？
西湖店，科技园店，季度销售？
东湖和科技园，季初至今营收？
西湖店销售总额，科技园店？
科技园店，西湖店，本季销售额。
本季东湖，科技园销售如何？
西湖店，科技园店，目前销售情况？
东湖与科技园，季度销售总额。
西湖店，科技园店，季初至现销售。
东湖和科技园，季度收入比较。
东湖分店，科技园分店，季销售额。
西湖店，科技园店，本季营收对比。
西湖店铺，科技园店铺，季初至今销售。
西湖店，科技园店，季销售总额。
东湖，科技园，本季销售对比。
东湖分店，科技园店铺，季销售。
西湖店，科技园店，季初至今营收。
西湖店铺，科技园店，季度销售。
东湖，科技园，季初至现营业额。
西湖店，科技园店，季度销售总额。
东湖分店，科技园店，季收入情况。
西湖店，科技园店铺，季初至现销售总额。
东湖，科技园，季度销售收入。
西湖店，科技园店，季销售业绩。
东湖分店，科技园店铺，季营收。
西湖店，科技园店，季销售情况。
西湖店铺，科技园店，季初至现营业额。
东湖和科技园，季度销售总额。
西湖店，科技园店，季销售收入。
东湖分店，科技园店铺，季销售总额。",指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,采购【总部】,营销【总部】",去年，母婴品类的销售额是多少？,"上一年的母婴品类营收是多少？
前一年的母婴品类销售总额有多少？
去年母婴品类的销售收入怎样？
上一年度母婴品类的营业额如何？
去年的母婴品类销售业绩如何？
前一年度母婴品类销售金额是多少？
上一年母婴品类的销售情况怎样？
去年母婴品类卖了多少？
前一年母婴品类营业收入如何？
上一年度母婴品类销售收入情况怎样？
去年母婴品类销售总额多少？
母婴品类，去年的营收情况如何？
上一年母婴品类的销售收入是多少？
去年母婴品类的销售业绩怎样？
前一年母婴品类的营业额是多少？
上一年度母婴品类的销售金额如何？
去年母婴品类的销售总额如何？
母婴品类去年的销售情况怎样？
上一年母婴品类的销售额情况如何？
前一年母婴品类的销售总额情况怎样？
母婴品类，去年的销售收入情况如何？
上一年母婴品类的销售总额情况怎样？
去年母婴品类的销售收入情况怎样？
母婴品类，前一年的营收情况如何？
上一年母婴品类的销售情况如何？
母婴品类，去年卖了多少？
上一年，母婴销售怎样？
去年母婴，收入咋样？
母婴品类，上一年度营收多少？
母婴去年，销售业绩如何？
去年母婴，营业额啥样？
母婴品类，前一年销售总额？
去年的母婴，销售收入多少？
母婴品类，上一年度卖了多少？
上一年母婴，营业额啥情况？
母婴品类，去年销售金额多少？
去年母婴，营收咋样？
母婴去年，销售总额啥情况？
母婴品类，前一年收入如何？
去年母婴，销售业绩怎样？
母婴品类，上一年度销售情况？
上一年母婴，销售收入啥样？
母婴品类，去年营业收入？
去年的母婴，销售总额咋样？
母婴品类，前一年销售业绩如何？
母婴去年，营收情况？
上一年母婴，销售总额多少？
母婴品类，去年销售收入咋样？
去年母婴，营业额如何？
母婴品类，上一年度营收情况？",指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",去年，华南区母婴品类的销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",去年，西湖店母婴品类的销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,采购【总部】,营销【总部】",今年到目前为止，销售额最高的5个商品是什么，它们各自的销售额是多少？,"2024年至今的销售额最高的三个SKU是多少？
销售额，今年迄今为止，三大产品有多少？
今年到目前为止，销售收入最高的SKU是哪些？
营业额，本年度至今，前三个商品是什么？
今年迄今为止的营业收入，三个最高销售的货品？
销售收入，今年，三个领先SKU分别是？
今年到目前为止，销售总额最高的产品有哪些？
2024年至今，销售额前三的商品各自的营业收入是多少？
营业收入，今年迄今为止，三个顶尖SKU？
销售收入，今年，三个最高营业额的商品？
今年到目前为止，三个最高销售收入的货品是什么？
本年度至今，营业额最高的三个SKU分别是？
销售额，今年迄今为止，三个最热产品？
今年到目前为止，销售总额最高的SKU各自的销售收入是多少？
2024年至今，营业收入最高的三个商品各自的销售额是多少？
今年迄今为止，销售收入最高的三个货品各自的营业额是多少？
本年度至今，销售额最高的三个产品各自的营业收入是多少？
今年到目前为止，三个最高营业额的SKU各自的销售总额是多少？
2024年至今，三个最高销售收入的商品各自的销售额是多少？
今年迄今为止，三个最高销售额的SKU各自的营业收入是多少？
营业额，今年到目前为止，三个最畅销的产品？
销售收入，本年度至今，三个最高销售额的SKU？
今年迄今为止，三个最高销售总额的商品各自的营业收入是多少？
2024年至今，三个最高销售收入的产品各自的销售额是多少？
今年到目前为止，三个最高销售总额的SKU各自的销售收入是多少？",排名类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,采购【总部】,营销【总部】",今年到目前为止，母婴品类销售额最高的5个商品是什么，它们各自的销售额是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",今年到目前为止，华南区销售额最高的5个商品是什么，它们各自的销售额是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",今年到目前为止，西湖店销售额最高的5个商品是什么，它们各自的销售额是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",今年到目前为止，西湖店母婴品类销售额最高的5个商品是什么，它们各自的销售额是多少？,,排名类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,营销【总部】",上周，线上渠道的总销售额是多少？,"上周的线上的总业绩是多少？
上个星期的线上渠道总营收是多少？
过去一周网店销售的总收入情况如何？
上一周互联网销售的总销售总额是多少？
上周的线上渠道销售收入有多少？
先前一周线上渠道的总销售金额是多少？
上星期的网店销售总营业收入怎样？
过去一周网络销售的总销售情况怎样？
上周的电子商务总销售收入如何？
上个星期线上渠道的总营业额是多少？
前一周的互联网销售总业绩如何？
上周网店销售的总销售金额是多少？
过去一周线上渠道的总营收情况怎样？
上个星期电子商务的总销售总额有多少？
先前一周网络销售的总收入情况如何？
上周互联网销售的总营业额是多少？
上周网店销售的总销售金额如何？
前一周线上渠道的总业绩怎样？
上周电子商务的总营业收入是多少？
上个星期网店销售的总销售总额如何？
过去一周互联网销售的总收入情况怎样？
上周网络销售的总销售收入情况如何？
上星期线上渠道的总业绩如何？
前一周电子商务的总营收情况怎样？
上周网店销售的总营业收入是多少？
上个星期线上渠道的总销售总额是多少？
过去一周互联网销售的总销售金额如何？
上周网络销售的总收入情况怎样？
上周电子商务的总销售收入有多少？
前一周网店销售的总营业额如何？
上周线上渠道的总销售金额是多少？
上个星期互联网销售的总业绩怎样？
过去一周网店销售的总营业收入如何？
上周电子商务的总销售总额是多少？
上一周线上渠道的总收入情况怎样？
前一周网络销售的总销售收入情况如何？
上周网店销售的总营业额是多少？
上个星期线上渠道的总销售金额如何？
过去一周互联网销售的总业绩怎样？
上周电子商务的总收入情况如何？
上个星期网店销售的总营业收入是多少？
前一周线上渠道的总销售总额怎样？
上周网络销售的总营收情况如何？
上个星期互联网销售的总销售总额有多少？
过去一周网店销售的总收入情况怎样？
上周电子商务的总销售收入情况如何？
上周线上渠道的总业绩如何？
前一周网络销售的总营业收入是多少？
上周网店销售的总销售金额怎样？
上个星期线上渠道的总营业额如何？",指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,营销【总部】",上周，华南区线上渠道的总销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",上周，西湖店线上渠道的总销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",上周，西湖店母婴品类线上渠道的总销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
工作日平均销售额,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",在上个月，工作日的平均销售额是多少？,"上月工作日平均销售额
平均销售，上月平日
上月度，非假日收入
营收，上个月工作日
上月非周末平均
平均业绩，上个月份
上月平日，平均营收
先前一个月，工作日平均
平均销售金额，上月工作日
上月，工作日平均
工作日平均，上个月度
上月平日，平均
平均营收，上月
上月工作日，平均
上月度，平均销售
先前一个月，平日平均
平均营业额，上月
上月非假日，平均
上月工作日的平均
平均收入，上月平日
上月非周末，平均
上月份，工作日平均
上月工作日，平均
平均销售金额，上个月
上月平日的平均
营收，上月工作日
上月度的平均销售
平日平均，上月
上月非假日的平均营收
上月工作日，平均业绩
平均营收，上个月份
上月非周末的平均销售
上月平均，工作日
上月平日，平均销售
平均营业额，上月度
上月工作日，平均收入
上月非假日，平均业绩
上月度，平日平均营收
上月工作日的平均营业额
平均销售，上个月工作日
上月平日，平均营收
上月非周末，平均销售金额
上月份，工作日平均收入",指标类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,区域经理【总部】",今年的总计划销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】",这个月的计划销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",这个月华南区的计划销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",这个月母婴品类的计划销售额是多少？,,指标类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,营销【总部】",这个月各个区域的计划销售额是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
计划销售额,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",这个月各个品类的计划销售额是多少？,,分布类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",上个月销售额达成率,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",上个月销售额达成率为什么同比降低了？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",华南区上个月销售额达成率,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",华南区上个月销售额达成率为什么比前一个月低？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",母婴品类上个月销售额达成率,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",为什么母婴品类上个月销售额达成率比前一个月低？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店上个月销售额达成率,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",西湖店上个月销售额达成率为什么环比下滑了？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",西湖店母婴品类上个月销售额达成率,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，本月份的销售额达成率有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，母婴品类本月份的销售额达成率有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，母婴品类本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,店长【门店】,营销【总部】",与上个月相比，西湖店本月份的销售额达成率有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,店长【门店】,营销【总部】,品类长【门店】",与上个月相比，西湖店母婴品类本月份的销售额达成率有何变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",上个月，哪些区域的销售额达成率表现最佳？,,分布类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】,采购【总部】",今年至今，哪些门店的销售额达成率最差？,,排名类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,采购【总部】",今年至今，华南区哪些门店的销售额达成率最差？,,排名类,销售,,,,,,,,,,,,,,,,,
门店销售达成率排名,"老板【总部】,店长【门店】",上个月，在所有门店中，深圳店的销售额达成率排第几名？,,指标类,销售,,,,,,,,,,,,,,,,,
门店销售达成率排名,"老板【总部】,区域经理【总部】,店长【门店】",上个月，在华南区所有门店中，深圳店的销售额达成率排第几名？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",上个月，哪个品类的销售额达成率最高？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",上个月，华南区哪个品类的销售额达成率最高？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",上个月，西湖店哪个品类的销售额达成率最高？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",去年全年，销售额达成率呈现什么趋势？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",去年全年，华南区销售额达成率呈现什么趋势？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",去年全年，西湖店销售额达成率呈现什么趋势？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,营销【总部】",去年全年，母婴品类销售额达成率呈现什么趋势？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",去年全年，西湖店母婴品类的销售额达成率呈现什么趋势？,,趋势类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,营销【总部】",今年到目前为止，与去年同期相比，销售额达成率有什么变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比销售额达成率有什么变化？为什么？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】",今年到目前为止，与去年同期相比，华南区的销售额达成率有什么变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】",今年到目前为止，与去年同期相比，华南区的销售额达成率有什么变化？为什么？,,归因类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比，东湖店的销售额达成率有什么变化？,,指标类,销售,,,,,,,,,,,,,,,,,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比，东湖店的销售额达成率有什么变化？为什么？,,归因类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区昨天的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",母婴品类昨天的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区母婴品类昨天的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店昨天的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",上周的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区上周的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",母婴品类上周的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区母婴品类上周的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店上周的销售额同比,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",今年3月份的销售额同比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】",华南区今年3月份的销售额同比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",母婴品类今年3月份的销售额同比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,品类长【门店】,采购【门店】",西湖店母婴品类今年3月份的销售额同比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】,采购【门店】",西湖店今年3月份的销售额同比增长,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,营销【总部】",上个月各区域的销售额同比增长率,,排名类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,区域经理【总部】,采购【总部】,营销【总部】,店长【门店】",今年到目前为止，西湖店的销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
销售同比,"老板【总部】,采购【总部】,营销【总部】",上个月母婴品类的销售额同比增长了多少？,,指标类,销售,,,,,,,,,,,,,,,,,
