指标,角色,问题,问题的不同的问法,问题类型,展示方式,小程序跳转页面名称,小程序跳转页面路径,PC端跳转页面名称,PC端跳转页面路径,主题,精度,表,字段,维度(分组).1,维度限定条件,日期限定条件,维度(分组)（包括表名）,维度限定条件（包括表名）,答案-SQL部分,推荐的关联问题,结果+分析解读部分,意图识别场景,意图识别场景流程,意图识别场景参数
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，本月份的销售额达成率有何变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""本月销售额达成率"":2, ""上个月销售额达成率"":2, ""差额"":2 } , ""joint"":{ } } ",,,,,计划.月='当月' OR 计划.月='上个月',,,"SELECT  t1.achievement_rate*100 as '本月销售额达成率',t2.achievement_rate*100  as '上个月销售额达成率',(t1.achievement_rate-t2.achievement_rate) as '差额' FROM( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget WHERE budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') )t1, ( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') )t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，婴儿用品品类本月份的销售额达成率有何变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""本月销售额达成率"":2, ""上个月销售额达成率"":2, ""差额"":2 } , ""joint"":{ } } ",,,,商品.大类名称='婴儿用品',计划.月='当月' OR 计划.月='上个月',,商品维度表.大类名称='婴儿用品',"SELECT     t1.achievement_rate*100 as '本月销售额达成率',t2.achievement_rate*100  as '上个月销售额达成率',(t1.achievement_rate-t2.achievement_rate) as '差额' FROM( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND category.category_name='婴儿用品' )t1, ( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') AND category.category_name='婴儿用品' )t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率环比,"老板【总部】,营销【总部】",与上个月相比，婴儿用品品类本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""本月销售额达成率"":2, ""上个月销售额达成率"":2, ""差额"":2 } , ""joint"":{ } } ",,,,门店.区域名称='华南区',计划.月='当月' OR 计划.月='上个月',,门店维度表.区域名称='华南区',"SELECT     t1.achievement_rate*100 as '本月销售额达成率',t2.achievement_rate*100  as '上个月销售额达成率',(t1.achievement_rate-t2.achievement_rate) as '差额' FROM( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.area_name = '华南区' )t1, ( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') AND store.area_name = '华南区' )t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率环比,"老板【总部】,区域经理【总部】,店长【门店】,营销【总部】",与上个月相比，深圳XXX路店本月份的销售额达成率有何变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""本月销售额达成率"":2, ""上个月销售额达成率"":2, ""差额"":2 } , ""joint"":{ } } ",,,,门店.门店名称='深圳XXX路店',计划.月='当月' OR 计划.月='上个月',,门店维度表.门店名称='深圳XXX路店',"SELECT     t1.achievement_rate*100 as '本月销售额达成率',t2.achievement_rate*100  as '上个月销售额达成率',(t1.achievement_rate-t2.achievement_rate) as '差额' FROM( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND store.store_name='深圳XXX路店' )t1, ( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') AND store.store_name='深圳XXX路店' )t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么会有这种变化？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率环比,"老板【总部】,区域经理【总部】,店长【门店】,营销【总部】,品类长【门店】",与上个月相比，深圳XXX路店婴儿用品品类本月份的销售额达成率有何变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""本月销售额达成率"":2, ""上个月销售额达成率"":2, ""差额"":2 } , ""joint"":{ } } ",,,,门店.门店名称='深圳XXX路店' AND 商品.大类名称='婴儿用品',计划.月='当月' OR 计划.月='上个月',,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.大类名称='婴儿用品',"SELECT     t1.achievement_rate*100 as '本月销售额达成率',t2.achievement_rate*100  as '上个月销售额达成率',(t1.achievement_rate-t2.achievement_rate) as '差额' FROM( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(CURDATE()) AND budget.month_id=date_format(CURDATE(), '%Y%m') AND category.category_name='婴儿用品' AND store.store_name='深圳XXX路店' )t1, ( SELECT      SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) AS achievement_rate FROM vw_dwd_fact_store_budget budget JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') AND category.category_name='婴儿用品' AND store.store_name='深圳XXX路店' )t2 ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率环比,"老板【总部】,区域经理【总部】,营销【总部】",与上个月相比，华南区本月份的销售额达成率有何变化？为什么？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率,"老板【总部】,营销【总部】",上个月，哪些区域的销售额达成率表现最佳？,,排名类,表格,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,门店.区域名称,,计划.月='上个月',门店维度表.区域名称,,"SELECT store.area_name  as '区域名称' , SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) *100  as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=year(date_sub(curdate(), interval 1 month)) AND budget.month_id=date_format(date_sub(curdate(), interval 1 month), '%Y%m') GROUP BY store.area_name ORDER BY '销售额达成率' DESC LIMIT 10",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,营销【总部】,采购【总部】",今年至今，哪些门店的销售额达成率最差？,,排名类,表格,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,门店.门店名称,,计划.年='今年',门店维度表.门店名称,,"SELECT store.store_name  as '门店名称' , SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) *100  as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=year(CURDATE()) GROUP BY store.store_name ORDER BY '销售额达成率' asc LIMIT 10 ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,采购【总部】",今年至今，华南区哪些门店的销售额达成率最差？,,排名类,表格,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,门店.门店名称,门店.区域名称='华南区',计划.年='今年',门店维度表.门店名称,门店维度表.区域名称='华南区',"SELECT store.store_name  as '门店名称' , SUM(budget.sale_amt)/SUM(budget.budget_sale_amt) *100 as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=year(CURDATE()) AND area_name = '华南区' GROUP BY store.store_name ORDER BY '销售额达成率' asc LIMIT 10",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
门店销售达成率排名,"老板【总部】,店长【门店】",上个月，在所有门店中，北京XXX路店的销售额达成率排第几名？,,指标类,单指标卡片,,,,,计划,,,,,门店.门店名称='北京XXX路店',计划.月='上个月',,门店维度表.门店名称='北京XXX路店',"SELECT sale_achievement_rate_rank  as '销售达成率排名'  FROM ( SELECT store.store_name, SUM(sale_amt)/SUM(budget_sale_amt)  AS sale_achievement_rate,ROW_NUMBER() OVER (ORDER BY SUM(sale_amt)/SUM(budget_sale_amt) DESC) AS sale_achievement_rate_rank FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') GROUP BY store.store_name  ) t1 WHERE t1.store_name='北京XXX路店' ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
门店销售达成率排名,"老板【总部】,区域经理【总部】,店长【门店】",上个月，在华南区所有门店中，深圳XXX路店的销售额达成率排第几名？,,指标类,单指标卡片,,,,,计划,,,,,门店.区域名称='华南区' AND 门店.门店名称='深圳XXX路店',计划.月='上个月',,门店维度表.区域名称='华南区' AND 门店维度表.门店名称='深圳XXX路店',"SELECT sale_achievement_rate_rank  as '销售达成率排名'  FROM ( SELECT store.store_name, SUM(sale_amt)/SUM(budget_sale_amt)  AS sale_achievement_rate,ROW_NUMBER() OVER (ORDER BY SUM(sale_amt)/SUM(budget_sale_amt) DESC) AS sale_achievement_rate_rank FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') AND store.area_name='华南区' GROUP BY store.store_name  ) t1 WHERE t1.store_name='深圳XXX路店' ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,营销【总部】",上个月，哪个品类的销售额达成率最高？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,商品.大类名称,,计划.月='上个月',商品维度表.大类名称,,"SELECT category.category_name  as '大类名称' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100   as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m')  GROUP BY category.category_name ORDER BY '销售额达成率' DESC LIMIT 1 ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",上个月，华南区哪个品类的销售额达成率最高？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,商品.大类名称,门店.区域名称='华南区',计划.月='上个月',商品维度表.大类名称,门店维度表.区域名称='华南区',"SELECT category.category_name  as '大类名称' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100   as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') AND store.area_name='华南区' GROUP BY category.category_name ORDER BY '销售额达成率' DESC LIMIT 1",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",上个月，深圳XXX路店哪个品类的销售额达成率最高？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,商品.大类名称,门店.门店名称='深圳XXX路店',计划.月='上个月',商品维度表.大类名称,门店维度表.门店名称='深圳XXX路店',"SELECT  category.category_name  as '大类名称' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100   as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') AND store.store_name = '深圳XXX路店' GROUP BY category.category_name ORDER BY '销售额达成率' DESC LIMIT 1",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,营销【总部】",去年全年，销售额达成率呈现什么趋势？,,趋势类,折线图,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,计划.月,,计划.年='去年',计划事实表.月,,"SELECT budget.month_id  as '月份' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)*100     as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) GROUP BY budget.month_id ORDER BY budget.month_id",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】",去年全年，华南区销售额达成率呈现什么趋势？,,趋势类,折线图,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,计划.月,门店.区域名称='华南区',计划.年='去年',计划事实表.月,门店维度表.区域名称='华南区',"SELECT budget.month_id  as '月份' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100    as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND store.area_name='华南区' GROUP BY budget.month_id ORDER BY budget.month_id",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】",去年全年，深圳XXX路店销售额达成率呈现什么趋势？,,趋势类,折线图,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,计划.月,门店.门店名称='深圳XXX路店',计划.年='去年',计划事实表.月,门店维度表.门店名称='深圳XXX路店',"SELECT budget.month_id  as '月份' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100    as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND store.store_name = '深圳XXX路店' GROUP BY budget.month_id ORDER BY budget.month_id",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,营销【总部】",去年全年，婴儿用品品类销售额达成率呈现什么趋势？,,趋势类,折线图,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,计划.月,商品.大类名称='婴儿用品',计划.年='去年',计划事实表.月,商品维度表.大类名称='婴儿用品',"SELECT budget.month_id  as '月份' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)*100     as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND category.category_name='婴儿用品' GROUP BY budget.month_id ORDER BY budget.month_id",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",去年全年，深圳XXX路店婴儿用品品类的销售额达成率呈现什么趋势？,,趋势类,折线图,,,,,计划,"{ ""accuracy"":{ ""销售额达成率"":2 } , ""joint"":{ ""销售额达成率"":""%"" } }",,,计划.月,门店.门店名称='深圳XXX路店' AND 商品.大类名称='婴儿用品',计划.年='去年',计划事实表.月,门店维度表.门店名称='深圳XXX路店' AND 商品维度表.大类名称='婴儿用品',"SELECT budget.month_id  as '月份' , IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100    as '销售额达成率'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  JOIN vw_dwd_dim_item_category AS category ON budget.category_id = category.category_id WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND store.store_name = '深圳XXX路店' AND category.category_name='婴儿用品' GROUP BY budget.month_id ORDER BY budget.month_id ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率同比,"老板【总部】,营销【总部】",今年到目前为止，与去年同期相比，销售额达成率有什么变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""同比变化"":2 } , ""joint"":{ ""同比变化"":""%"" } } ",,,,,(计划.年='今年' AND 计划.月<='当月') OR (计划.年='去年' AND 计划.月<='去年同月') ,,,"SELECT (t1.sale_achievement_rate-t2.sale_achievement_rate)/t2.sale_achievement_rate*100  as '同比变化'  FROM ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  WHERE budget.year_id=YEAR(CURDATE()) AND budget.month_id<=date_format(CURDATE(), '%Y%m') ) t1, ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND budget.month_id<=date_format(DATE_SUB(CURDATE(), INTERVAL 1 YEAR), '%Y%m') ) t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比销售额达成率有什么变化？为什么？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】",今年到目前为止，与去年同期相比，华南区的销售额达成率有什么变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""同比变化"":2 } , ""joint"":{ ""同比变化"":""%"" } } ",,,,门店.区域名称='华南区',(计划.年='今年' AND 计划.月<='当月') OR (计划.年='去年' AND 计划.月<='去年同月') ,,门店维度表.区域名称='华南区',"SELECT  (t1.sale_achievement_rate-t2.sale_achievement_rate)/t2.sale_achievement_rate*100  as '同比变化'  FROM ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(CURDATE()) AND budget.month_id<=date_format(CURDATE(), '%Y%m')  AND store.area_name='华南区' ) t1, ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND budget.month_id<=date_format(DATE_SUB(CURDATE(), INTERVAL 1 YEAR), '%Y%m')  AND store.area_name='华南区' ) t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】",今年到目前为止，与去年同期相比，华南区的销售额达成率有什么变化？为什么？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比，深圳XXX路店的销售额达成率有什么变化？,,指标类,单指标卡片,,,,,计划,"{ ""accuracy"":{ ""同比变化"":2 } , ""joint"":{ ""同比变化"":""%"" } } ",,,,门店.门店名称='深圳XXX路店',(计划.年='今年' AND 计划.月<='当月') OR (计划.年='去年' AND 计划.月<='去年同月') ,,门店维度表.门店名称='深圳XXX路店',"SELECT  (t1.sale_achievement_rate-t2.sale_achievement_rate)/t2.sale_achievement_rate*100  as '同比变化'  FROM ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(CURDATE()) AND budget.month_id<=date_format(CURDATE(), '%Y%m')  AND store.store_name = '深圳XXX路店' ) t1, ( SELECT IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)  AS sale_achievement_rate FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 YEAR)) AND budget.month_id<=date_format(DATE_SUB(CURDATE(), INTERVAL 1 YEAR), '%Y%m')  AND store.store_name = '深圳XXX路店' ) t2",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额达成率同比,"老板【总部】,区域经理【总部】,营销【总部】,店长【门店】,品类长【门店】",今年到目前为止，与去年同期相比，东湖店的销售额达成率有什么变化？为什么？,,归因类,归因通用组件,,,,,销售,,,,,,,,,,,,归因分析,归因分析组件,
销售额、销售额达成率、差额,"老板【总部】,营销【总部】",上个月的销售额、销售额达成率、差额是多少？,,多指标类,多指标卡片,,,,,计划,"{ ""accuracy"":{ ""销售额"":2, ""销售额达成率"":2, ""差额"":2 } , ""joint"":{ ""销售额达成率"":""%"" } } ",,,,,计划.月='上个月',,,"SELECT SUM(sale_amt)   as '销售额'  ,IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)*100    as '销售额达成率' ,SUM(budget_sale_amt) -SUM(sale_amt)  as '差额'  FROM vw_dwd_fact_store_budget AS budget  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m')  ",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额、销售额达成率、差额,"老板【总部】,营销【总部】",上个月各区域的销售额、销售额达成率、差额是多少？按销售额达成率排序,,分布类,多维下钻组件,,,,,计划,"{ ""accuracy"":{ ""销售额"":2, ""销售额达成率"":2, ""差额"":2 } , ""joint"":{ ""销售额达成率"":""%"" } } ",,,门店.区域名称,,计划.月='上个月',门店维度表.区域名称,,"SELECT store.area_name  as '区域名称' ,SUM(sale_amt)   as '销售额'  ,IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0) *100   as '销售额达成率' ,SUM(budget_sale_amt)-SUM(sale_amt)   as '差额'  FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') GROUP BY store.area_name ORDER BY '销售额达成率' DESC",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
销售额、销售额达成率、差额,"老板【总部】,营销【总部】",上个月各区域的销售额、销售额达成率、差额是多少？按差额排序,,分布类,多维下钻组件,,,,,计划,"{ ""accuracy"":{ ""销售额"":2, ""销售额达成率"":2, ""差额"":2 } , ""joint"":{ ""销售额达成率"":""%"" } } ",,,门店.区域名称,,计划.月='上个月',门店维度表.区域名称,,"SELECT store.area_name  as '区域名称' ,SUM(sale_amt)   as '销售额'  ,IFNULL(SUM(sale_amt)/SUM(budget_sale_amt),0)*100    as '销售额达成率' ,SUM(budget_sale_amt)-SUM(sale_amt)   as '差额' FROM vw_dwd_fact_store_budget AS budget  JOIN vw_dwd_dim_store AS store ON budget.store_id = store.store_id  WHERE budget.year_id=YEAR(DATE_SUB(CURDATE(), INTERVAL 1 MONTH)) AND budget.month_id=date_format(DATE_SUB(CURDATE(), INTERVAL 1 MONTH), '%Y%m') GROUP BY store.area_name ORDER BY  '差额' DESC",,,TO_SQL,Agent,agent-6a4c81387e3d4185ac0f4
